participant.id_in_session,participant.code,participant.label,participant._is_bot,participant._index_in_pages,participant._max_page_index,participant._current_app_name,participant._current_page_name,participant.time_started_utc,participant.visited,participant.mturk_worker_id,participant.mturk_assignment_id,participant.payoff,participant.unique_id,participant.explanation,session.code,session.label,session.mturk_HITId,session.mturk_HITGroupId,session.comment,session.is_demo,session.config.participation_fee,session.config.real_world_currency_per_point,session.config.name,survey_part_1_cw.1.player.id_in_group,survey_part_1_cw.1.player.role,survey_part_1_cw.1.player.payoff,survey_part_1_cw.1.player.gender,survey_part_1_cw.1.player.age_category,survey_part_1_cw.1.player.personal_experience,survey_part_1_cw.1.player.tool_experience,survey_part_1_cw.1.player.clickworker_id,survey_part_1_cw.1.group.id_in_subsession,survey_part_1_cw.1.subsession.round_number,inflation_calculator.1.player.id_in_group,inflation_calculator.1.player.role,inflation_calculator.1.player.payoff,inflation_calculator.1.player.explanation,inflation_calculator.1.player.unique_id,inflation_calculator.1.group.id_in_subsession,inflation_calculator.1.subsession.round_number,survey_part_2.1.player.id_in_group,survey_part_2.1.player.role,survey_part_2.1.player.payoff,survey_part_2.1.player.att1,survey_part_2.1.player.att2,survey_part_2.1.player.att3,survey_part_2.1.player.att4,survey_part_2.1.player.att5,survey_part_2.1.player.att6,survey_part_2.1.player.att7,survey_part_2.1.player.treat_check,survey_part_2.1.player.att8,survey_part_2.1.player.att9,survey_part_2.1.player.q1,survey_part_2.1.player.q2,survey_part_2.1.player.q3,survey_part_2.1.player.q4,survey_part_2.1.player.q5,survey_part_2.1.player.q6,survey_part_2.1.player.q7,survey_part_2.1.player.q8,survey_part_2.1.player.q9,survey_part_2.1.player.q10,survey_part_2.1.player.q11,survey_part_2.1.player.q12,survey_part_2.1.player.q13,survey_part_2.1.player.q14,survey_part_2.1.player.q15,survey_part_2.1.player.q16,survey_part_2.1.player.q17,survey_part_2.1.group.id_in_subsession,survey_part_2.1.subsession.round_number
21,kgacibif,,0,13,14,survey_part_2,Closing_passed,2022-11-04 09:56:07.777445,1,,,0.0,7ee46381-929c-409b-b532-37d81adc7a9f,,7ymv81x6,,,,,0,0.0,1.0,InflationsrechnerSurveyClickworker,21,,0.0,1.0,5.0,2.0,2.0,102281,1,1,21,,0.0,1,7ee46381-929c-409b-b532-37d81adc7a9f,1,1,21,,0.0,1.0,1.0,2.0,2.0,2.0,1.0,2.0,2.0,2.0,4.0,4.0,3.0,3.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,1,1
77,9h5x70kx,,0,13,14,survey_part_2,Closing_passed,2022-11-04 10:26:51.240041,1,,,0.0,6c527b0a-55ad-4faf-8704-6609baf8f623,,7ymv81x6,,,,,0,0.0,1.0,InflationsrechnerSurveyClickworker,77,,0.0,1.0,4.0,2.0,2.0,16482,1,1,77,,0.0,1,6c527b0a-55ad-4faf-8704-6609baf8f623,1,1,77,,0.0,1.0,1.0,2.0,2.0,2.0,1.0,2.0,1.0,2.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,4.0,4.0,4.0,4.0,4.0,3.0,4.0,5.0,1,1
223,wj37174l,,0,13,14,survey_part_2,Closing_passed,2022-11-04 12:38:00.832471,1,,,0.0,6472e845-4492-4e91-bc18-a262ff160249,,7ymv81x6,,,,,0,0.0,1.0,InflationsrechnerSurveyClickworker,223,,0.0,2.0,4.0,2.0,2.0,3565927,1,1,223,,0.0,1,6472e845-4492-4e91-bc18-a262ff160249,1,1,223,,0.0,1.0,1.0,2.0,2.0,2.0,1.0,2.0,1.0,1.0,5.0,3.0,4.0,3.0,3.0,4.0,4.0,4.0,4.0,5.0,4.0,3.0,3.0,3.0,3.0,3.0,4.0,4.0,1,1
281,k3bh61q4,,0,13,14,survey_part_2,Closing_passed,2022-11-04 14:22:22.859974,1,,,0.0,d68fd7f8-e768-43d9-9241-10b1bae8c418,,7ymv81x6,,,,,0,0.0,1.0,InflationsrechnerSurveyClickworker,281,,0.0,2.0,2.0,2.0,2.0,944186,1,1,281,,0.0,1,d68fd7f8-e768-43d9-9241-10b1bae8c418,1,1,281,,0.0,1.0,1.0,2.0,2.0,2.0,1.0,2.0,1.0,1.0,5.0,4.0,5.0,4.0,5.0,5.0,5.0,5.0,4.0,3.0,4.0,4.0,5.0,5.0,5.0,3.0,4.0,5.0,1,1
369,c5xlgggv,,0,13,14,survey_part_2,Closing_passed,2022-11-04 16:43:56.780904,1,,,0.0,5f095601-0ec8-4f91-a3ca-332a72ae0fe8,,7ymv81x6,,,,,0,0.0,1.0,InflationsrechnerSurveyClickworker,369,,0.0,1.0,3.0,2.0,2.0,5435167,1,1,369,,0.0,1,5f095601-0ec8-4f91-a3ca-332a72ae0fe8,1,1,369,,0.0,1.0,1.0,2.0,2.0,2.0,1.0,2.0,1.0,2.0,3.0,3.0,2.0,2.0,4.0,4.0,3.0,2.0,3.0,3.0,3.0,2.0,2.0,3.0,4.0,4.0,3.0,4.0,1,1
371,lv74jife,,0,13,14,survey_part_2,Closing_passed,2022-11-04 16:44:59.280838,1,,,0.0,7f219b19-44e5-4031-897a-229a0f8ee381,,7ymv81x6,,,,,0,0.0,1.0,InflationsrechnerSurveyClickworker,371,,0.0,1.0,3.0,1.0,2.0,5006163,1,1,371,,0.0,1,7f219b19-44e5-4031-897a-229a0f8ee381,1,1,371,,0.0,1.0,1.0,2.0,2.0,2.0,1.0,2.0,2.0,3.0,5.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,3.0,2.0,2.0,2.0,4.0,5.0,4.0,4.0,4.0,1,1
399,hr089sbz,,0,13,14,survey_part_2,Closing_passed,2022-11-04 18:28:39.976556,1,,,0.0,02c050c4-0751-404b-bc58-c508717c3cf8,,7ymv81x6,,,,,0,0.0,1.0,InflationsrechnerSurveyClickworker,399,,0.0,1.0,3.0,2.0,2.0,4964179,1,1,399,,0.0,1,02c050c4-0751-404b-bc58-c508717c3cf8,1,1,399,,0.0,1.0,1.0,2.0,2.0,2.0,1.0,2.0,1.0,2.0,4.0,2.0,3.0,3.0,4.0,4.0,4.0,2.0,4.0,3.0,2.0,2.0,2.0,4.0,3.0,3.0,4.0,4.0,1,1
421,l7txcdw6,,0,13,14,survey_part_2,Closing_passed,2022-11-04 19:18:25.384748,1,,,0.0,d874fa94-071f-417b-8aba-f0fb21e8a039,,7ymv81x6,,,,,0,0.0,1.0,InflationsrechnerSurveyClickworker,421,,0.0,2.0,4.0,2.0,2.0,6508875,1,1,421,,0.0,1,d874fa94-071f-417b-8aba-f0fb21e8a039,1,1,421,,0.0,1.0,1.0,2.0,2.0,2.0,1.0,2.0,1.0,2.0,4.0,4.0,4.0,3.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,4.0,4.0,3.0,4.0,1,1
427,txg3ox5x,,0,13,14,survey_part_2,Closing_passed,2022-11-04 19:31:12.075418,1,,,0.0,7e1a2899-9d9f-45ce-b330-20334486f460,,7ymv81x6,,,,,0,0.0,1.0,InflationsrechnerSurveyClickworker,427,,0.0,2.0,4.0,2.0,2.0,984189,1,1,427,,0.0,1,7e1a2899-9d9f-45ce-b330-20334486f460,1,1,427,,0.0,1.0,1.0,2.0,2.0,2.0,1.0,2.0,1.0,3.0,4.0,4.0,4.0,4.0,5.0,5.0,5.0,5.0,4.0,3.0,3.0,3.0,3.0,4.0,4.0,3.0,4.0,4.0,1,1
461,sbhu1dpx,,0,13,14,survey_part_2,Closing_passed,2022-11-04 21:53:50.584866,1,,,0.0,fc34e997-a036-426f-8059-0e10cb928cfc,,7ymv81x6,,,,,0,0.0,1.0,InflationsrechnerSurveyClickworker,461,,0.0,2.0,2.0,2.0,2.0,2895409,1,1,461,,0.0,1,fc34e997-a036-426f-8059-0e10cb928cfc,1,1,461,,0.0,1.0,1.0,2.0,2.0,2.0,1.0,2.0,1.0,2.0,5.0,2.0,4.0,4.0,4.0,5.0,5.0,4.0,5.0,2.0,3.0,1.0,2.0,4.0,4.0,3.0,3.0,4.0,1,1
475,0j8bx7bn,,0,13,14,survey_part_2,Closing_passed,2022-11-04 23:15:38.839406,1,,,0.0,e22b0392-2266-43ce-9dbf-01f6c0dc76cb,,7ymv81x6,,,,,0,0.0,1.0,InflationsrechnerSurveyClickworker,475,,0.0,1.0,6.0,2.0,2.0,1938430,1,1,475,,0.0,1,e22b0392-2266-43ce-9dbf-01f6c0dc76cb,1,1,475,,0.0,1.0,1.0,2.0,2.0,2.0,1.0,2.0,1.0,2.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,3.0,3.0,3.0,4.0,4.0,3.0,4.0,4.0,1,1
541,uckt0zj3,,0,13,14,survey_part_2,Closing_passed,2022-11-05 11:19:13.239018,1,,,0.0,58d3a913-3f19-471a-bd8f-d3472d82062e,,7ymv81x6,,,,,0,0.0,1.0,InflationsrechnerSurveyClickworker,541,,0.0,2.0,3.0,2.0,2.0,6632751,1,1,541,,0.0,1,58d3a913-3f19-471a-bd8f-d3472d82062e,1,1,541,,0.0,1.0,1.0,2.0,2.0,2.0,1.0,2.0,1.0,2.0,5.0,4.0,4.0,4.0,4.0,4.0,4.0,3.0,3.0,2.0,1.0,1.0,1.0,3.0,3.0,3.0,3.0,3.0,1,1
577,hezqic8t,,0,13,14,survey_part_2,Closing_passed,2022-11-05 14:55:39.847436,1,,,0.0,e88a1af9-ff3a-4937-a7e0-4fc305d3ff0f,,7ymv81x6,,,,,0,0.0,1.0,InflationsrechnerSurveyClickworker,577,,0.0,2.0,4.0,2.0,2.0,10749841,1,1,577,,0.0,1,e88a1af9-ff3a-4937-a7e0-4fc305d3ff0f,1,1,577,,0.0,1.0,1.0,2.0,2.0,2.0,1.0,2.0,1.0,3.0,4.0,2.0,3.0,2.0,4.0,4.0,5.0,4.0,4.0,4.0,3.0,3.0,3.0,4.0,4.0,3.0,4.0,4.0,1,1
581,hpm6n99b,,0,13,14,survey_part_2,Closing_passed,2022-11-05 15:34:44.153240,1,,,0.0,8d27f5c5-4092-40d1-b0b8-043737204055,,7ymv81x6,,,,,0,0.0,1.0,InflationsrechnerSurveyClickworker,581,,0.0,1.0,3.0,2.0,2.0,10720967,1,1,581,,0.0,1,8d27f5c5-4092-40d1-b0b8-043737204055,1,1,581,,0.0,1.0,1.0,2.0,2.0,2.0,1.0,2.0,1.0,1.0,4.0,5.0,5.0,4.0,3.0,4.0,4.0,3.0,4.0,4.0,3.0,3.0,3.0,4.0,4.0,3.0,3.0,4.0,1,1
605,v38e631c,,0,13,14,survey_part_2,Closing_passed,2022-11-05 17:57:07.461505,1,,,0.0,cd88cfe1-fdc7-4873-9c70-e1cb68e67183,,7ymv81x6,,,,,0,0.0,1.0,InflationsrechnerSurveyClickworker,605,,0.0,2.0,3.0,2.0,2.0,9761507,1,1,605,,0.0,1,cd88cfe1-fdc7-4873-9c70-e1cb68e67183,1,1,605,,0.0,1.0,1.0,2.0,2.0,2.0,1.0,2.0,1.0,1.0,5.0,5.0,5.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,5.0,5.0,5.0,5.0,5.0,4.0,5.0,5.0,1,1
631,u1c3nns4,,0,13,14,survey_part_2,Closing_passed,2022-11-05 20:20:12.785467,1,,,0.0,5787f51c-c245-4829-94c0-91c84b7a74dd,,7ymv81x6,,,,,0,0.0,1.0,InflationsrechnerSurveyClickworker,631,,0.0,1.0,3.0,2.0,2.0,4929729,1,1,631,,0.0,1,5787f51c-c245-4829-94c0-91c84b7a74dd,1,1,631,,0.0,1.0,1.0,2.0,2.0,2.0,1.0,2.0,2.0,3.0,4.0,4.0,4.0,4.0,4.0,4.0,5.0,4.0,4.0,4.0,3.0,3.0,4.0,4.0,5.0,5.0,5.0,4.0,1,1
